town,date
BattleCreekDec19_2019.txt,12/19/2019
BemidjiSep18_2020.txt,9/18/2020
CharlestonFeb28_2020.txt,2/28/2020
CharlotteMar2_2020.txt,3/2/2020
CincinnatiAug1_2019.txt,8/1/2019
ColoradorSpringsFeb20_2020.txt,2/20/2020
DallasOct17_2019.txt,10/17/2019
DesMoinesJan30_2020.txt,1/30/2020
FayettevilleSep19_2020.txt,9/19/2020
FayettevilleSep9_2019.txt,9/9/2019
FreelandSep10_2020.txt,9/10/2020
GreenvilleJul17_2019.txt,7/17/2019
HendersonSep13_2020.txt,9/13/2020
HersheyDec10_2019.txt,12/10/2019
LasVegasFeb21_2020.txt,2/21/2020
LatrobeSep3_2020.txt,9/3/2020
LexingtonNov4_2019.txt,11/4/2019
MilwaukeeJan14_2020.txt,1/14/2020
MindenSep12_2020.txt,9/12/2020
MinneapolisOct10_2019.txt,10/10/2019
MosineeSep17_2020.txt,9/17/2020
NewHampshireAug15_2019.txt,8/15/2019
NewHampshireAug28_2020.txt,8/28/2020
NewHampshireFeb10_2020.txt,2/10/2020
NewMexicoSep16_2019.txt,9/16/2019
OhioSep21_2020.txt,9/21/2020
PhoenixFeb19_2020.txt,2/19/2020
PittsburghSep22_2020.txt,9/2/2020
TexasSep23_2019.txt,9/23/2019
ToledoJan9_2020.txt,1/9/2020
TulsaJun20_2020.txt,6/20/2020
TupeloNov1_2019.txt,11/1/2019
WildwoodJan28_2020.txt,1/28/2020
Winston-SalemSep8_2020.txt,9/8/2020
YumaAug18_2020.txt,8/18/2020